HouseholdID,Longitude,Latitude,N,order,cluster,latmean,lngmean
WN86,34.17109392,-0.421909071,14,1173,24,-0.42252938,34.17054446
WN92,34.17096978,-0.423141709,11,1174,24,-0.42252938,34.17054446
WN90,34.17222796,-0.42214405,4,1175,24,-0.42252938,34.17054446
WN85,34.17202536,-0.423348396,1,1176,24,-0.42252938,34.17054446
WN74,34.17211113,-0.423197277,9,1177,24,-0.42252938,34.17054446
WQ09,34.17334011,-0.422901798,6,1178,24,-0.42252938,34.17054446
WQ08,34.17375805,-0.423727463,12,1179,24,-0.42252938,34.17054446
WN99,34.17356266,-0.424429791,2,1180,24,-0.42252938,34.17054446
WQ01,34.17400766,-0.42501193,7,1181,24,-0.42252938,34.17054446
WQ02,34.17329145,-0.425071143,4,1182,24,-0.42252938,34.17054446
WN80,34.17087195,-0.425252393,4,1183,24,-0.42252938,34.17054446
WQ06,34.17071329,-0.426060445,7,1184,24,-0.42252938,34.17054446
WN57,34.16867488,-0.425459743,2,1185,24,-0.42252938,34.17054446
WN56,34.16870638,-0.42490458,1,1186,24,-0.42252938,34.17054446
WN58,34.16927857,-0.424710485,3,1187,24,-0.42252938,34.17054446
WN82,34.17008021,-0.424554441,6,1188,24,-0.42252938,34.17054446
WN84,34.16948965,-0.422646995,7,1189,24,-0.42252938,34.17054446
WN83,34.17009888,-0.423414407,6,1190,24,-0.42252938,34.17054446
WN81,34.16964425,-0.423799362,7,1191,24,-0.42252938,34.17054446
WN59,34.16864083,-0.424052671,8,1192,24,-0.42252938,34.17054446
WN60,34.16808315,-0.424376134,5,1193,24,-0.42252938,34.17054446
WN61,34.16776428,-0.424704009,5,1194,24,-0.42252938,34.17054446
WN63,34.1678056,-0.425151099,3,1195,24,-0.42252938,34.17054446
WN62,34.16738747,-0.424129913,5,1196,24,-0.42252938,34.17054446
SB62,34.16345744,-0.423572872,1,1197,24,-0.42252938,34.17054446
SB80,34.16337051,-0.424403434,10,1198,24,-0.42252938,34.17054446
SB71,34.16204005,-0.425078139,2,1199,24,-0.42252938,34.17054446
SB72,34.16194724,-0.424212183,6,1200,24,-0.42252938,34.17054446
SB60,34.16110991,-0.424482464,5,1201,24,-0.42252938,34.17054446
SB73,34.16052023,-0.425328935,7,1202,24,-0.42252938,34.17054446
SB84,34.16096845,-0.423873009,6,1203,24,-0.42252938,34.17054446
SB76,34.16106667,-0.42327805,5,1204,24,-0.42252938,34.17054446
SB77,34.16177726,-0.422714057,1,1205,24,-0.42252938,34.17054446
SB78,34.16192656,-0.423071656,1,1206,24,-0.42252938,34.17054446
SB61,34.16290229,-0.423091097,1,1207,25,-0.420648998,34.15563862
SB63,34.16256472,-0.42245792,2,1208,25,-0.420648998,34.15563862
SB79,34.16279967,-0.4209623,1,1209,25,-0.420648998,34.15563862
SB64,34.16287072,-0.419676668,8,1210,25,-0.420648998,34.15563862
SB67,34.16229338,-0.419165176,6,1211,25,-0.420648998,34.15563862
SB68,34.16179286,-0.418639829,5,1212,25,-0.420648998,34.15563862
SB65,34.1615602,-0.420028491,1,1213,25,-0.420648998,34.15563862
SB66,34.16138173,-0.420379687,10,1214,25,-0.420648998,34.15563862
SB10,34.15878663,-0.421796517,5,1215,25,-0.420648998,34.15563862
SB09,34.15814129,-0.420838008,2,1216,25,-0.420648998,34.15563862
SB07,34.15729424,-0.422158061,8,1217,25,-0.420648998,34.15563862
YG41,34.15791907,-0.422123695,4,1218,25,-0.420648998,34.15563862
SB11,34.15821296,-0.423013747,3,1219,25,-0.420648998,34.15563862
SB85,34.15779281,-0.423421963,7,1220,25,-0.420648998,34.15563862
SB54,34.15784386,-0.42487068,5,1221,25,-0.420648998,34.15563862
SB55,34.15701869,-0.424116396,4,1222,25,-0.420648998,34.15563862
SB53,34.15755939,-0.425467428,6,1223,25,-0.420648998,34.15563862
SB57,34.15659127,-0.425928003,1,1224,25,-0.420648998,34.15563862
SB56,34.1559855,-0.424830984,7,1225,25,-0.420648998,34.15563862
YG31,34.15525829,-0.423955444,4,1226,25,-0.420648998,34.15563862
SB12,34.15615622,-0.423294913,4,1227,25,-0.420648998,34.15563862
YG37,34.15655657,-0.422101749,6,1228,25,-0.420648998,34.15563862
YG39,34.15601353,-0.421750917,3,1229,25,-0.420648998,34.15563862
YG40,34.1571023,-0.421424183,4,1230,25,-0.420648998,34.15563862
SB08,34.15718762,-0.420252334,4,1231,25,-0.420648998,34.15563862
WM34,34.15729867,-0.419365394,6,1232,25,-0.420648998,34.15563862
WM31,34.15805442,-0.417343351,1,1233,25,-0.420648998,34.15563862
WM25,34.15879598,-0.416607645,5,1234,25,-0.420648998,34.15563862
WM30,34.15850394,-0.416213311,6,1235,25,-0.420648998,34.15563862
WM32,34.15836271,-0.41746529,5,1236,25,-0.420648998,34.15563862
WM33,34.15801983,-0.418331443,4,1237,25,-0.420648998,34.15563862
YG38,34.15532043,-0.421776668,4,1238,25,-0.420648998,34.15563862
YG30,34.15457066,-0.422514398,9,1239,25,-0.420648998,34.15563862
YG21,34.15443335,-0.421614569,9,1240,25,-0.420648998,34.15563862
YG32,34.15410124,-0.420106022,9,1241,25,-0.420648998,34.15563862
WM70,34.15245323,-0.418996765,3,1242,25,-0.420648998,34.15563862
YG18,34.15175766,-0.419082029,1,1243,25,-0.420648998,34.15563862
WM67,34.15092015,-0.419815762,9,1244,25,-0.420648998,34.15563862
WM68,34.15091082,-0.420179014,12,1245,25,-0.420648998,34.15563862
KH02,34.14975428,-0.419925476,5,1246,25,-0.420648998,34.15563862
WM82,34.14952074,-0.419532328,3,1247,25,-0.420648998,34.15563862
KH03,34.14938816,-0.419361586,1,1248,25,-0.420648998,34.15563862
WE30,34.14874294,-0.41986876,6,1249,25,-0.420648998,34.15563862
WE31,34.14768861,-0.41955459,4,1250,25,-0.420648998,34.15563862
WM59,34.14762008,-0.417948572,11,1251,25,-0.420648998,34.15563862
WM81,34.14815257,-0.418164258,2,1252,25,-0.420648998,34.15563862
WM63,34.14926461,-0.418110805,12,1253,25,-0.420648998,34.15563862
WM65,34.14925569,-0.41842156,2,1254,25,-0.420648998,34.15563862
WM66,34.14945678,-0.418269805,8,1255,25,-0.420648998,34.15563862
WM64,34.14999774,-0.418134301,19,1256,25,-0.420648998,34.15563862
WM36,34.14933706,-0.415937471,4,1257,26,-0.412869306,34.15235288
WM37,34.15009354,-0.416184022,4,1258,26,-0.412869306,34.15235288
WM35,34.15103225,-0.416500832,1,1259,26,-0.412869306,34.15235288
WM69,34.15258947,-0.417742399,2,1260,26,-0.412869306,34.15235288
WM29,34.15242915,-0.41664644,5,1261,26,-0.412869306,34.15235288
WM28,34.15109041,-0.415414,6,1262,26,-0.412869306,34.15235288
WM16,34.15211341,-0.414738793,14,1263,26,-0.412869306,34.15235288
WM15,34.15249328,-0.414142259,10,1264,26,-0.412869306,34.15235288
WM14,34.15283668,-0.413742594,8,1265,26,-0.412869306,34.15235288
WM24,34.15331827,-0.415733789,6,1266,26,-0.412869306,34.15235288
WM23,34.15364703,-0.415492347,10,1267,26,-0.412869306,34.15235288
GA16,34.15421555,-0.414822481,1,1268,26,-0.412869306,34.15235288
GA15,34.15529802,-0.415754423,7,1269,26,-0.412869306,34.15235288
GA18,34.15597415,-0.414354925,10,1270,26,-0.412869306,34.15235288
GA21,34.15781506,-0.414444761,25,1271,26,-0.412869306,34.15235288
GA22,34.15746787,-0.413319149,7,1272,26,-0.412869306,34.15235288
GA14,34.15685971,-0.412896421,6,1273,26,-0.412869306,34.15235288
GA19,34.15584921,-0.412959112,9,1274,26,-0.412869306,34.15235288
GA28,34.15584995,-0.411644346,15,1275,26,-0.412869306,34.15235288
GA23,34.15460973,-0.412922815,14,1276,26,-0.412869306,34.15235288
GA17,34.15500968,-0.413843518,10,1277,26,-0.412869306,34.15235288
GA35,34.15419019,-0.413489972,1,1278,26,-0.412869306,34.15235288
GA25,34.15356502,-0.412893611,1,1279,26,-0.412869306,34.15235288
WM27,34.15256438,-0.412949731,9,1280,26,-0.412869306,34.15235288
GA07,34.15287108,-0.412356664,7,1281,26,-0.412869306,34.15235288
GA08,34.15313019,-0.412255935,4,1282,26,-0.412869306,34.15235288
GA24,34.15346754,-0.411293286,5,1283,26,-0.412869306,34.15235288
GA26,34.15295394,-0.411038163,7,1284,26,-0.412869306,34.15235288
GA09,34.15258898,-0.410618002,5,1285,26,-0.412869306,34.15235288
GA34,34.1523945,-0.410544074,2,1286,26,-0.412869306,34.15235288
GA05,34.15217372,-0.411140339,7,1287,26,-0.412869306,34.15235288
GA04,34.15150299,-0.410972934,14,1288,26,-0.412869306,34.15235288
GA32,34.15183321,-0.410219744,18,1289,26,-0.412869306,34.15235288
GA33,34.15158785,-0.410421802,10,1290,26,-0.412869306,34.15235288
WM18,34.15049131,-0.410985515,10,1291,26,-0.412869306,34.15235288
GA06,34.15238212,-0.411561126,1,1292,26,-0.412869306,34.15235288
GA01,34.15222464,-0.411846008,3,1293,26,-0.412869306,34.15235288
GA02,34.1518941,-0.412261748,4,1294,26,-0.412869306,34.15235288
GA03,34.1516879,-0.41274692,7,1295,26,-0.412869306,34.15235288
WM13,34.15117716,-0.412595042,7,1296,26,-0.412869306,34.15235288
WM17,34.15120203,-0.413220525,7,1297,26,-0.412869306,34.15235288
WM22,34.15015208,-0.414207224,7,1298,26,-0.412869306,34.15235288
WM11,34.14968717,-0.41245572,3,1299,26,-0.412869306,34.15235288
WM10,34.15003527,-0.412002443,3,1300,26,-0.412869306,34.15235288
WM12,34.14918939,-0.411768385,3,1301,26,-0.412869306,34.15235288
WM19,34.1484624,-0.411567897,4,1302,26,-0.412869306,34.15235288
WM08,34.14914643,-0.410623479,1,1303,26,-0.412869306,34.15235288
WM07,34.14976396,-0.410362365,5,1304,26,-0.412869306,34.15235288
WM06,34.1499316,-0.409862926,4,1305,26,-0.412869306,34.15235288
WM05,34.14944719,-0.409398275,5,1306,26,-0.412869306,34.15235288
WM01,34.1483691,-0.40943784,9,1307,26,-0.412869306,34.15235288
WM02,34.14926559,-0.409075852,11,1308,27,-0.406386894,34.15099956
GN56,34.15035491,-0.408165382,8,1309,27,-0.406386894,34.15099956
GN58,34.15069965,-0.408064231,6,1310,27,-0.406386894,34.15099956
GN57,34.15078866,-0.408417614,5,1311,27,-0.406386894,34.15099956
WM03,34.15083199,-0.408838145,11,1312,27,-0.406386894,34.15099956
WM04,34.15085549,-0.409151926,7,1313,27,-0.406386894,34.15099956
GA30,34.1521087,-0.409459054,9,1314,27,-0.406386894,34.15099956
GA31,34.15219311,-0.409936897,9,1315,27,-0.406386894,34.15099956
GA10,34.15274938,-0.40919756,5,1316,27,-0.406386894,34.15099956
GA29,34.15262491,-0.40898251,9,1317,27,-0.406386894,34.15099956
DA06,34.15331272,-0.407780504,6,1318,27,-0.406386894,34.15099956
DA05,34.15322294,-0.407126783,4,1319,27,-0.406386894,34.15099956
DA01,34.15252312,-0.407820721,14,1320,27,-0.406386894,34.15099956
GN54,34.15116288,-0.407798016,5,1321,27,-0.406386894,34.15099956
GN55,34.15093382,-0.407633775,3,1322,27,-0.406386894,34.15099956
GN63,34.15088174,-0.407601261,3,1323,27,-0.406386894,34.15099956
DA02,34.1517053,-0.407241829,6,1324,27,-0.406386894,34.15099956
GN61,34.15144634,-0.406764892,6,1325,27,-0.406386894,34.15099956
GN53,34.15117807,-0.406888164,11,1326,27,-0.406386894,34.15099956
GN62,34.15059394,-0.407211985,8,1327,27,-0.406386894,34.15099956
GN04,34.15025693,-0.407110573,3,1328,27,-0.406386894,34.15099956
GN41,34.14975894,-0.4069255,7,1329,27,-0.406386894,34.15099956
GN44,34.1494554,-0.407078771,2,1330,27,-0.406386894,34.15099956
GN43,34.14867766,-0.406163421,5,1331,27,-0.406386894,34.15099956
GN20,34.15005695,-0.406197471,7,1332,27,-0.406386894,34.15099956
GN19,34.15058064,-0.40596369,13,1333,27,-0.406386894,34.15099956
GN05,34.15058012,-0.406633637,11,1334,27,-0.406386894,34.15099956
GN06,34.15103317,-0.406502249,7,1335,27,-0.406386894,34.15099956
GN60,34.15106974,-0.406385495,11,1336,27,-0.406386894,34.15099956
GN59,34.15149886,-0.406376352,2,1337,27,-0.406386894,34.15099956
GN52,34.15165165,-0.406109031,7,1338,27,-0.406386894,34.15099956
DA03,34.15272476,-0.406163056,11,1339,27,-0.406386894,34.15099956
DA04,34.15400073,-0.406033183,16,1340,27,-0.406386894,34.15099956
DA07,34.15312861,-0.405596277,6,1341,27,-0.406386894,34.15099956
GN51,34.15137203,-0.405447177,13,1342,27,-0.406386894,34.15099956
GN18,34.15066577,-0.405488184,9,1343,27,-0.406386894,34.15099956
GN17,34.15056581,-0.405085418,9,1344,27,-0.406386894,34.15099956
GN28,34.15029617,-0.404911107,10,1345,27,-0.406386894,34.15099956
GN16,34.15065105,-0.404567086,10,1346,27,-0.406386894,34.15099956
GN15,34.15122883,-0.404532254,9,1347,27,-0.406386894,34.15099956
GN08,34.15114913,-0.404152774,6,1348,27,-0.406386894,34.15099956
GN07,34.1510037,-0.403407655,27,1349,27,-0.406386894,34.15099956
GN22,34.15053902,-0.40401672,6,1350,27,-0.406386894,34.15099956
GN21,34.15045375,-0.403716704,8,1351,27,-0.406386894,34.15099956
GN11,34.15014607,-0.403427886,3,1352,27,-0.406386894,34.15099956
GN23,34.14950317,-0.403298121,7,1353,27,-0.406386894,34.15099956
GN66,34.14890962,-0.403574737,10,1354,27,-0.406386894,34.15099956
GN13,34.14941372,-0.40359035,13,1355,27,-0.406386894,34.15099956
GN10,34.15021222,-0.403837826,5,1356,27,-0.406386894,34.15099956
GN12,34.14996032,-0.403894875,4,1357,27,-0.406386894,34.15099956
GN24,34.14942291,-0.404314006,43,1358,28,-0.405157121,34.15215081
GN50,34.14974664,-0.405322775,4,1359,28,-0.405157121,34.15215081
GN42,34.1493946,-0.405305634,6,1360,28,-0.405157121,34.15215081
GN27,34.14929512,-0.404848542,6,1361,28,-0.405157121,34.15215081
GN29,34.14906612,-0.404867772,1,1362,28,-0.405157121,34.15215081
GN25,34.14889296,-0.40426132,11,1363,28,-0.405157121,34.15215081
GN26,34.14844855,-0.404129791,20,1364,28,-0.405157121,34.15215081
GN35,34.14822639,-0.404444088,6,1365,28,-0.405157121,34.15215081
GN39,34.14849703,-0.404808105,4,1366,28,-0.405157121,34.15215081
GN40,34.14848593,-0.404790273,7,1367,28,-0.405157121,34.15215081
GN30,34.14682618,-0.406877942,7,1368,28,-0.405157121,34.15215081
GN31,34.14616097,-0.407069453,9,1369,28,-0.405157121,34.15215081
GN32,34.14672422,-0.405399262,4,1370,28,-0.405157121,34.15215081
GN33,34.14692647,-0.404977219,14,1371,28,-0.405157121,34.15215081
GN34,34.14612956,-0.40443578,17,1372,28,-0.405157121,34.15215081
